invoiceno,stockcode,quantity,invoicedate,unitprice
570677,23008,2,26/02/2023 14:59,16.95
570521,21625,3,21/02/2023 14:59,6.95
538349,21985,1,20/02/2023 14:59,0.85
581405,20996,1,19/02/2023 13:50,0.19
580848,72799E,1,15/02/2023 11:51,0.79
537685,22737,15,14/02/2023 10:21,1.65
574076,22483,1,13/02/2023 15:38,5.79
574262,22561,12,13/02/2023 14:05,1.65
574587,23356,4,13/02/2023 10:29,5.95
569545,21906,1,12/2/2023 16:37,13.29
569898,23437,2,12/2/2023 16:08,2.46
569360,23198,6,12/2/2023 14:59,1.45
570210,22980,2,10/2/2023 10:48,1.65
565378,21155,7,9/2/2023 15:16,4.96
565233,23000,1,9/2/2023 9:34,0.83
559338,21391,1,7/2/2023 16:30,1.63
555388,22725,4,5/2/2023 15:48,3.75
559693,21169,1,5/2/2023 11:50,4.13
556283,23306,12,5/2/2023 8:50,1.45
552061,21876,12,30/01/2023 10:43,1.25
543179,22531,1,29/01/2023 10:32,0.42
580689,23150,6,23/01/2023 15:43,2.49
543177,22667,6,23/01/2023 09:56,2.95
542922,22423,3,23/01/2023 09:06,12.75
537141,22193,1,16/01/2023 12:57,8.5
536520,84985A,1,15/01/2023 12:43,1.45
580613,23438,12,15/01/2023 12:03,1.25
580730,21126,1,12/1/2023 17:28,1.25
536592,90214H,1,12/1/2023 17:06,0.85
580610,21945,1,12/1/2023 11:48,1.63
565617,84598,3,9/1/2023 15:30,0.42
566060,21106,1,9/1/2023 15:27,5.79
579937,22090,12,9/1/2023 10:10,2.95
562560,22411,2,8/1/2023 17:12,2.08
562264,23321,3,8/1/2023 16:14,3.29
562688,22918,12,8/1/2023 13:53,0.65
558763,22960,3,7/1/2023 13:08,4.25
545906,22614,24,3/1/2023 9:23,0.29
543451,22774,1,2/1/2023 12:13,2.46
